ID,mean,cv,skewness,kurtosis,weekend_ratio,summer_peak,winter_peak,trend_slope,seasonal_strength_weekly,n_peaks,peak_height_ratio,zero_percentage,avg_zero_run,cluster
19052,3.4778082191780824,0.4153827166430112,1.4169292274190048,2.2889502882752453,1.228070196893944,0.9209021439154228,1.0,0.0006809485147684,0.310917141894607,29.0,2.9926894595872064,0.0,0.0,1
19062,8.138232876712328,0.3227014302031375,0.6181340898826133,0.4752777689155274,1.2380866797329704,0.949997962329946,1.0,0.0032421831929579,0.2103199269638898,29.0,2.169512751413504,0.0,0.0,1
19078,3.455454794520548,0.3700419263976018,0.7927758320240443,0.1180701618832498,1.1639390447829805,1.1526628521802773,1.0,-0.0061658889056149,0.6253382687031808,24.0,2.2489080199581206,0.0,0.0,1
19082,0.112572602739726,3.0143053384364267,12.94536514155579,195.069106658318,0.9958505890109663,1.212865034399306,1.0,0.000402496403215,0.2107646859915779,4.0,49.87892136581567,0.0,0.0,2
19094,4.766764383561644,0.4777056392342042,1.211242309440387,0.672593424423074,1.3927764169144226,0.8829956889007107,1.0,0.0010302050969466,0.0918800469815355,31.0,2.6667984773566284,0.0,0.0,1
19114,3.470090410958904,0.4323964836857007,1.4989614213082123,1.6802624978745824,1.0302536097641224,0.9837607492540792,1.0,-0.0022315816229582,0.1984712667318571,30.0,2.614629282092054,0.0,0.0,1
19175,4.487265753424658,0.6341766673168429,1.775486894907175,4.309016421118643,1.189383071537389,0.7230175647476937,1.0,-0.0109095426468882,0.5846615817278284,24.0,4.191416562668666,0.0,0.0,1
19178,2.165542465753425,0.6451723063714886,0.7001977090398414,-0.1357222564644202,0.987550536340686,0.4632219910085698,1.0,-0.0011804954309108,0.5584467304040999,22.0,3.3774447352873085,0.0,0.0,1
19192,1.9928301369863015,0.603643759327122,0.3638289728172799,-0.6944991083940919,1.0636251336842069,0.8952874913042125,1.0,0.0002696611495398,0.1955850416217413,28.0,2.4216815625330805,6.027397260273973,7.333333333333333,1
19198,0.0077835616438356,0.4463675183057619,0.6813316338567352,-0.1123883684298086,0.9187868798717856,0.6075172137257169,1.0,1.8152967625233509e-06,0.8514047170668125,16.0,2.569517775431186,0.0,0.0,0
